Article_ID,Author_ID
1,6898493731280902447
1,-3994334902961064086
1,2511329760684033587
1,-6375885475626834721
1,5837246311308042004
1,-8335274741296718189
1,-53195209333850062
1,3560298658646524166
1,2968342705262553330
1,4100113482077223899
1,-2827257952140999610
2,6951183555990645002
2,1998397317151669943
2,-2831601647914135345
3,5432530908330807241
3,5812745770800825755
3,-3183778407793799547
3,-3938846612111007745
3,-5175393490113942222
3,-2768798389654624625
3,-1095974833506423704
4,6041119572823288852
4,-3626159527312990205
4,-6548297947958968050
4,8517861996935815726
4,-715847763745059177
5,1070633721241177344
5,2773791461291291168
5,-1491794987515826886
5,108915309783644564
5,5478134454099452271
5,3739035743596267678
5,-8663743044136702324
5,2752532509035549130
5,-7853049917204330101
5,2276915934439020121
5,-4292274169511606617
5,-1486768020544038089
5,7165979952271038334
5,-7936775729881310689
5,-182074955495865902
5,-6832262792294244829
5,-8500410570061950669
5,7870828561963142401
5,191110900782094551
5,8803101027574569147
5,3237867546902985247
5,2995677614248122314
5,-2698568250601290355
5,4430424129029372016
5,4999712556731187460
5,9187280537120344704
5,-2281655768121945717
5,6113016342217127776
5,-5405739442230320695
5,1752867786632244208
5,-7470553396207888904
5,4835570047120168921
5,-8509308963705493061
5,-3990148503566715278
5,5205530860612812279
5,1774244587749343684
5,6804805130237478631
5,-6510040224458028362
5,2797060883059851803
5,5874513854092882393
5,8404234235574532054
5,563971437428384303
5,-6088691391308001890
5,-5094509747913213742
5,-6303133685227488901
5,-6747914175800960183
5,-284433038823917581
5,5532307898938273613
5,-6587181114156717268
5,8897674138149826145
5,276015659563312302
5,6088346199336719876
5,-2738635395837957625
5,-2198211348112545395
5,-5558213833701818947
5,6046210444366900276
5,6147679832875954999
5,9163399183705984990
5,7871077826083675975
5,-8517495352066037337
5,7064438427151141585
5,3585013280745401641
5,-5832137083367147460
5,1864997813116414164
5,-7434762755878055058
5,-2796485063066002330
5,-8651069805454870371
5,-575644226929453915
5,5665262605198394695
5,-153765371863678707
5,2677025145758110739
5,-6309947434062265519
5,6244638905430784083
5,-3252526155206194742
5,-6652914928369913365
5,-3218472733628784033
5,-6938104271714382500
5,-6158471919426334468
5,-8859754475814974117
5,6113252681486571930
5,-5197486295250248914
5,2377831765034420660
5,-488939887303310836
6,-3209297566452857617
6,2630477783944887043
